Feature,p_value,log2fc,-log10(p),Taxon
aa28e44bf82a278f471be0df6446578f,7.771530525450376e-07,-4.25396161113027,6.109493442807796,s__Streptomyces_sp.
7556eb459f17c068ee9e93f2953e54f5,3.147867908950237e-06,-3.579881574976852,5.501983499825556,s__Streptomyces_sp.
8fc3ce99854e3774f89c30753e2b90cc,3.2103062901412162e-06,-3.907262569654515,5.493453530282863,s__Streptomyces_sp.
68e60a33b50fff985c483e6e1d27a030,9.209583819945602e-06,-2.851984789843054,5.035759995078391,s__Streptomyces_sp.
e494b472588b3552effd4e2d21c514ab,2.1462789293963784e-05,-2.920708972375047,4.668313837996414,s__Streptomyces_sp.
5c3e42ef06498d4b8df86236414eda0e,2.820524529748722e-05,-2.603109567096061,4.549670118917425,s__Streptomyces_sp.
034bd16869a52ec1a95ced8b97d23756,0.00022445618671544456,6.1465315130570515,3.648868419581334,d__Bacteria
53f9c66225aa8854d52a24676a3e80bf,0.0005780081008815805,22.46660609362932,3.238066074825985,d__Bacteria
7d6139e98b568d7c86cadfedb09f3727,0.0015704770540086925,5.533975278371556,2.8039684046269584,g__Fusobacterium
49b13addb19694a4503b64baa8d3fdc5,0.001718322566590862,2.6968539342776734,2.7648953063134107,d__Bacteria
360c68ead91b4a5f2450b9781d7011f0,0.0017251976200443127,3.122834388815179,2.763161149646382,d__Bacteria
bf5b1a1e769425adb5da4c4d18c5c5d8,0.0017571872576525628,2.960689460983777,2.7551819547074476,d__Bacteria
032a106e5c2af0cebf53fe932a22967f,0.001776751384464497,-1.5773777998665883,2.7503733374782984,o__Bacteroidales
5c4c42a062a2f2aae5957ea693adb58a,0.0017801368292697168,5.707307128730496,2.74954661459395,s__Eggerthia_catenaformis
e82abcd6bb09bb31bfbd7885c05e2e67,0.0020221943461593674,1.2719904868920233,2.694177108186858,g__Fusobacterium
17b4c30bda955e012045b16ae4713a60,0.0021850757477059847,3.385036579586331,2.660533503205907,o__Bacillales
9999ab39baa5bcc2e06988caaddb45e7,0.002187627946796598,3.013668333024616,2.6600265371798164,d__Bacteria
9ecc1ba1d12123b432018c588f279ebd,0.002654451722543074,-1.882340897065643,2.576025168919097,o__Bacteroidales
3afc3c728a185b7a903090a65b877872,0.002827936289471806,-3.4675361248814376,2.5485303789778646,g__Actinomyces
2ee58041351d3df319f1deba5060bb83,0.003246029695770411,-3.538568368492975,2.488647511419758,s__Dickeya_phage
a9580d94ce3bb1c994b6e51894c9747f,0.0032578257558173963,1.939457921130587,2.4870721475630093,g__Centipeda
954b10e04f228bb90d41ecd753142f51,0.003264539033071779,2.471907975154289,2.4861781343052396,d__Bacteria
d360ac5319d3bd552ad3547409f2a2fe,0.0033727529534831515,2.7688469227253,2.4720154687332276,o__Fusobacteriales
d622b33a9d179015e30cdc5df51be522,0.003405037498271073,21.970301314932335,2.4678781010191737,f__Lachnospiraceae
53e30fb53f1902d2c618feacf4ccf58c,0.0035452213982913624,22.600719006082226,2.4503566380397745,f__Lachnospiraceae
1924e4512daee6f623c63e67b61f9f33,0.003632973065110049,2.1124119806098918,2.439737821987943,f__Veillonellaceae
0c37c41dc6d81ab5ec6deb3ed4499a10,0.003748537401068499,2.7139446382720886,2.42613815161882,d__Bacteria
02eb7777c12af1f6ca2f3ed50ed9a516,0.004525455825668217,2.256339572366453,2.34433767002735,g__Fusobacterium
b830abe7253df00e17bd7f13221ca6aa,0.0045560805753837325,-2.9515278287607876,2.3414086039223716,o__Bacteroidales
b6e17a50a84007c92f732143c7c36328,0.004597330668489966,4.134953892679009,2.3374942579778093,c__Bacteroidia
2a185a427a12823b42fb9d16a077b137,0.004601798711545592,2.2198754693376173,2.3370723818379293,s__Shuttleworthia_satelles
f0a978aef306040c2d5594fe5e56cf08,0.004932359029497896,3.9456209665040833,2.3069453183588045,c__Bacilli
bb0dcbef6ec57c7d1b5332caa0014682,0.005001869671070409,6.554573864611332,2.3008676284536467,c__Bacilli
9b3c15686205908fde31abf13ae69b86,0.0051117059922102,2.113473243741886,2.29143413325981,g__Capnocytophaga
2d880b51f27b53e414a3c7795d2896cc,0.0052573468741221015,-2.5509826940065143,2.2792333677509644,s__Dickeya_phage
0c678c1656a7d64a5a3e65c3f5ff1b1c,0.005616987110702738,2.9854930183743598,2.250496572698025,g__Howardella
df506bc5130c84bef383fd804a11af65,0.005960957660522879,3.778593341935788,2.22468396286547,s__Streptomyces_sp.
ac2ff998317d8ab061c856a777b42d27,0.0060505037593881015,4.816904471755635,2.218208464882325,s__uncultured_Gram-positive
17e66a3573a83120ab942f42df949d3c,0.006340570968594251,-1.2994861811220975,2.197871632126989,c__Bacteroidia
84af9f98e4ff1d76bc0d42d1a2c42379,0.006416246666004788,3.7493459340334665,2.192718948398214,g__Centipeda
721e05287df0ea261597c0487393e12f,0.006758929029833429,-1.3360730957831646,2.1701221137153377,o__Bacteroidales
6bcbb8cdbf1f794276ed75dfd0e0bb67,0.006920977624844864,-1.3838698907267866,2.1598325548080974,c__Bacteroidia
9f6afeac3cad506e09138f2ccbb10d24,0.006978212629678235,-0.8314579728250798,2.1562558015131517,g__Veillonella
8aebcecd8e143675a2ef2a40e556bab1,0.00711109290740829,-2.5782109641521713,2.1480636472054413,c__Bacteroidia
b76a47c79681ec69272c50cfaeabb9aa,0.007144828124382044,-22.671475654766002,2.1460082141130763,c__Bacilli
c29a6c2a2086fdbd812b6f8c7b0c6350,0.00722603194035977,2.2972967007875624,2.1411001231040965,s__Filifactor_alocis
7bc92265926b533051875e3f273dd72e,0.007689011418180182,-2.2706783116077056,2.1141294941684095,d__Bacteria
ae6beba4a40d1e69b449c1fe10b892c9,0.007934804003477538,22.52143010909224,2.1004637962260126,f__Lachnospiraceae
4ccb0e9e2ed49fa9f427e1bcebecd57f,0.008137504010947223,19.68609424516537,2.08950878436147,s__Porphyromonas_sp.
dcc80df21603556248f8422e3c8924bf,0.0082906031315285,22.276860941180864,2.0814138738928305,d__Bacteria
e5b60cb484d9ea93cb12f60a3a06d73e,0.008367098315786695,-1.3489762518705357,2.0774251279005327,g__Rothia
61fb0e935074aa943ac9a25a5df53989,0.008382968715498316,-2.808410522224193,2.076602154587055,d__Bacteria
a4cf84e0269d49189e79f561f331c7f3,0.00843760901622158,2.2434222312036276,2.0737806029209054,s__Treponema_denticola
8228c89f4b5df7fd744040f4228abe66,0.00862199463261351,2.203533192832647,2.064392251840175,g__Fusobacterium
